run_id,dataset,method,model_name,lr,seed,epochs,steps,trainable_params,selected_epoch,val_acc,test_acc,diverged,delta_entropy_pct,delta_erf95_pct,delta_gini_pct,delta_entropy_last_layer_pct,cka_mean,cka_last,embedding_drift,weight_drift_rel,train_loss_final,epoch1_delta_entropy_pct,epoch1_weight_drift_rel,epoch1_embedding_drift,epoch1_cka_mean,epoch1_transfer_retention,baseline_entropy,abs_delta_entropy_pct,abs_delta_erf95_pct,abs_delta_gini_pct,abs_delta_entropy_last_layer_pct,log10_lr,epoch1_log10_lr,epoch1_transfer_retention_pct,epoch1_epoch1_transfer_retention_pct,epoch1_abs_delta_entropy_pct,epoch1_abs_delta_erf95_pct,epoch1_abs_delta_gini_pct,epoch1_train_loss_final,epoch1_delta_entropy_last_layer_pct,epoch1_abs_delta_entropy_last_layer_pct,cifar100_acc,cifar100_retention,cifar100_pretrained,cifar10_acc,cifar10_retention,cifar10_pretrained,corruption_mean_acc,corruption_gap
S2_eurosat_full_ft_basep16_lr1e-4_seed11,eurosat,full_ft,openai/clip-vit-base-patch16,0.0001,11,6,300,86197771,6,0.9533333333333334,0.955925925925926,False,2.187526893912062,0.938581678010684,-3.9891410854975087,21.077098110439493,0.7390355815490087,0.42480015754699707,0.7162967920303345,0.022414136609502908,0.04579412466846407,5.41449860532921,0.014169033890585178,0.6809391975402832,0.7620660662651062,0.017107309486780714,4.424264192581177,2.187526893912062,0.938581678010684,3.9891410854975087,21.077098110439493,-4.0,-4.0,1.7107309486780715,1.7107309486780715,5.41449860532921,11.947356332031164,19.702940076730656,1.285631919503212,30.658134590934665,30.658134590934665,1.51,2.280966767371601,66.2,13.65,15.082872928176796,90.5,0.5497142857142857,0.40621164021164025
S2_eurosat_full_ft_basep16_lr1e-4_seed7,eurosat,full_ft,openai/clip-vit-base-patch16,0.0001,7,6,300,86197771,6,0.94,0.9577777777777777,False,3.812354784101707,2.524507399040127,-6.558331222493679,30.487640735410547,0.7366456141074499,0.47629398107528687,0.7363963723182678,0.02156143228454481,0.0549206930398941,2.576073699275017,0.014281446314356511,0.6659646034240723,0.696929395198822,0.02799377916018662,4.424264192581177,3.812354784101707,2.524507399040127,6.558331222493679,30.487640735410547,-4.0,-4.0,2.799377916018662,2.799377916018662,2.576073699275017,5.4647756485297565,7.674136246483311,1.3843014788627626,25.73960507127807,25.73960507127807,1.25,1.8882175226586102,66.2,13.3,14.696132596685082,90.5,0.5688571428571428,0.3889206349206349
S2_eurosat_full_ft_basep16_lr1e-5_seed11,eurosat,full_ft,openai/clip-vit-base-patch16,1e-05,11,6,300,86197771,5,0.97,0.9696296296296296,False,-1.37499821044059,4.4110212869519305,-3.2788503931418407,7.456973203933272,0.8042895421385765,0.38909098505973816,0.7108768224716187,0.004311261950598582,0.020005227271467446,-1.1836455842825788,0.0025833451261143975,0.5652675628662109,0.8293712983528773,0.5458786936236392,4.424264192581177,1.37499821044059,4.4110212869519305,3.2788503931418407,7.456973203933272,-5.0,-5.0,54.58786936236392,54.58786936236392,1.1836455842825788,4.782582086442501,4.244700637284739,1.29436905503273,9.888486350334533,9.888486350334533,30.070000000000004,45.42296072507553,66.2,58.15,64.25414364640883,90.5,0.519142857142857,0.4504867724867726
S2_eurosat_full_ft_basep16_lr1e-5_seed7,eurosat,full_ft,openai/clip-vit-base-patch16,1e-05,7,6,300,86197771,4,0.9633333333333334,0.9677777777777777,False,-1.1760135736712145,3.097455821076268,-2.187373823864409,7.704011710328987,0.8112056528528532,0.44169315695762634,0.6993211507797241,0.00417222780652224,0.03021328555420041,-0.6008608530747559,0.0024670739473118303,0.5753893852233887,0.8538821339607239,0.5474339035769828,4.424264192581177,1.1760135736712145,3.097455821076268,2.187373823864409,7.704011710328987,-5.0,-5.0,54.74339035769829,54.74339035769829,0.6008608530747559,4.0837862720021585,2.8229888152313762,1.4337328839302064,6.776491847447513,6.776491847447513,36.52,55.16616314199396,66.2,62.1,68.61878453038673,90.5,0.5368571428571428,0.4309206349206349
S2_eurosat_full_ft_basep16_lr3e-5_seed11,eurosat,full_ft,openai/clip-vit-base-patch16,3e-05,11,6,300,86197771,6,0.9633333333333334,0.9737037037037037,False,0.7166024607775662,3.8690535472191256,-4.60066074016388,14.827408554993475,0.7798492014408112,0.3810008764266968,0.7260216474533081,0.008531444629283274,0.021084219189360737,0.3255417398275313,0.005492299654457913,0.6716093420982361,0.8017958626151085,0.26127527216174184,4.424264192581177,0.7166024607775662,3.8690535472191256,4.60066074016388,14.827408554993475,-4.522878745280337,-4.522878745280337,26.127527216174183,26.127527216174183,0.3255417398275313,5.847418345784769,6.4409872935396795,1.0233229705691338,16.505611199306124,16.505611199306124,17.95,27.114803625377643,66.2,48.9,54.03314917127071,90.5,0.547142857142857,0.4265608465608467
S2_eurosat_full_ft_basep16_lr3e-5_seed7,eurosat,full_ft,openai/clip-vit-base-patch16,3e-05,7,6,300,86197771,5,0.9566666666666667,0.9744444444444444,False,3.8062271709924427,7.465873295473104,-9.811534471536191,25.811909983333305,0.764728824297587,0.3897835314273834,0.7258603572845459,0.008543823604272985,0.024671792667359114,3.507843623205667,0.005549237453633653,0.6058900356292725,0.800543467203776,0.2690513219284603,4.424264192581177,3.8062271709924427,7.465873295473104,9.811534471536191,25.811909983333305,-4.522878745280337,-4.522878745280337,26.905132192846033,26.905132192846033,3.507843623205667,9.30354980333733,10.068532509466532,1.1507538866996765,21.05061121044609,21.05061121044609,18.9,28.54984894259819,66.2,50.05,55.30386740331491,90.5,0.5307142857142857,0.44373015873015875
S2_eurosat_full_ft_lr1e-4_seed11,eurosat,full_ft,openai/clip-vit-base-patch32,0.0001,11,6,300,87854347,6,0.9466666666666667,0.9440740740740741,False,-2.5267956987185034,-5.180015450103487,13.568024145652833,-7.271843719189184,0.7365506788094839,0.47080081701278687,0.7236953973770142,0.021885485905671662,0.06559752397239209,-1.535091051385597,0.014052543823292414,0.6779775619506836,0.7485818912585577,0.03054662379421222,3.6796094179153442,2.5267956987185034,5.180015450103487,13.568024145652833,7.271843719189184,-4.0,-4.0,3.054662379421222,3.054662379421222,1.535091051385597,1.4845729114365775,1.1002852474083462,1.3471535325050354,-10.597824234220685,10.597824234220685,2.67,4.353497472688734,61.33,15.35,17.562929061784896,87.4,0.5994285714285714,0.34464550264550264
S2_eurosat_full_ft_lr1e-4_seed19,eurosat,full_ft,openai/clip-vit-base-patch32,0.0001,19,6,300,87854347,6,0.9366666666666666,0.9411111111111111,False,-1.8746532884959475,-4.060977373313813,9.075102041174507,-5.1392991427282295,0.7418930207689604,0.45273318886756897,0.7317410111427307,0.022209973163392908,0.048863710705190896,-0.02143349203350257,0.014178415531242963,0.6622684597969055,0.7543269967039427,0.027331189710610933,3.6796094179153442,1.8746532884959475,4.060977373313813,9.075102041174507,5.1392991427282295,-4.0,-4.0,2.7331189710610935,2.7331189710610935,0.02143349203350257,0.015535145488118185,4.690363585242372,1.385993732213974,-0.09474440600925786,0.09474440600925786,2.09,3.4077939018424916,61.33,11.65,13.329519450800916,87.4,0.5731428571428572,0.36796825396825394
S2_eurosat_full_ft_lr1e-4_seed7,eurosat,full_ft,openai/clip-vit-base-patch32,0.0001,7,6,300,87854347,6,0.92,0.9355555555555556,False,-2.6117677911185804,-5.622570912223593,13.443682074845132,-10.82999949867148,0.7142466406027476,0.4528798758983612,0.7383443713188171,0.022530898129158865,0.06654826544225216,-0.8201136014494411,0.0146088836566814,0.6541762351989746,0.7100806832313538,0.017684887459807074,3.6796094179153442,2.6117677911185804,5.622570912223593,13.443682074845132,10.82999949867148,-4.0,-4.0,1.7684887459807075,1.7684887459807075,0.8201136014494411,0.6578269578153663,5.002489178823083,1.4297281563282014,-8.19214251098745,8.19214251098745,1.96,3.1958258601010927,61.33,14.05,16.075514874141877,87.4,0.5907142857142859,0.3448412698412697
S2_eurosat_full_ft_lr1e-5_seed11,eurosat,full_ft,openai/clip-vit-base-patch32,1e-05,11,6,300,87854347,5,0.96,0.9685185185185186,False,1.1753005005820587,1.5169597401660393,-14.06362341869536,1.625594492070654,0.8190121352672577,0.42511284351348877,0.7303391695022583,0.004118576533749546,0.02627447176724672,1.6124676044876431,0.00243136744111593,0.5682284832000732,0.8363120804230372,0.387459807073955,3.6796094179153442,1.1753005005820587,1.5169597401660393,14.06362341869536,1.625594492070654,-5.0,-5.0,38.7459807073955,38.7459807073955,1.6124676044876431,2.218019838835383,16.583911691968698,1.335427132844925,3.1308032953994753,3.1308032953994753,23.96,39.067340616337844,61.33,45.9,52.517162471395885,87.4,0.5378571428571429,0.43066137566137563
